Front,Back,Tags
<div style='text-align:center; line-height:1.05;'><div style='color:#7C3AED; font-size:40px; font-weight:800;'>عنجد</div><div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(ʿanjad)</div></div>,<div style='line-height:1.25;'><div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center;'>really?</div><div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div><div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>عنجد؟</div><div style='text-align:center; font-size:24px;'>ʿanjad?</div><div style='text-align:center; font-size:24px;'>Really?</div></div>,reaction
<div style='text-align:center; line-height:1.05;'><div style='color:#7C3AED; font-size:40px; font-weight:800;'>ماشي</div><div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(māshi)</div></div>,<div style='line-height:1.25;'><div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center;'>ok / sounds good</div><div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div><div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>ماشي</div><div style='text-align:center; font-size:24px;'>māshi</div><div style='text-align:center; font-size:24px;'>Ok / sounds good</div></div>,reaction
<div style='text-align:center; line-height:1.05;'><div style='color:#7C3AED; font-size:40px; font-weight:800;'>ولا شي</div><div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(wala shi)</div></div>,<div style='line-height:1.25;'><div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center;'>nothing</div><div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div><div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>ولا شي</div><div style='text-align:center; font-size:24px;'>wala shi</div><div style='text-align:center; font-size:24px;'>Nothing</div></div>,reaction
<div style='text-align:center; line-height:1.05;'><div style='color:#7C3AED; font-size:40px; font-weight:800;'>لحظة</div><div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(laḥẓa)</div></div>,<div style='line-height:1.25;'><div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center;'>one second</div><div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div><div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>لحظة بس</div><div style='text-align:center; font-size:24px;'>laḥẓa bas</div><div style='text-align:center; font-size:24px;'>One second</div></div>,reaction
<div style='text-align:center; line-height:1.05;'><div style='color:#7C3AED; font-size:40px; font-weight:800;'>طيب</div><div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(ṭayyib)</div></div>,<div style='line-height:1.25;'><div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center;'>okay / alright</div><div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div><div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>طيب خلينا نروح</div><div style='text-align:center; font-size:24px;'>ṭayyib khallina nrouḥ</div><div style='text-align:center; font-size:24px;'>Ok let's go</div></div>,reaction
<div style='text-align:center; line-height:1.05;'><div style='color:#7C3AED; font-size:40px; font-weight:800;'>شو؟</div><div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(shu)</div></div>,<div style='line-height:1.25;'><div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center;'>what?</div><div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div><div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>شو؟ ما فهمت</div><div style='text-align:center; font-size:24px;'>shu? ma fhemt</div><div style='text-align:center; font-size:24px;'>What? I didn't understand</div></div>,reaction
<div style='text-align:center; line-height:1.05;'><div style='color:#7C3AED; font-size:40px; font-weight:800;'>ليش؟</div><div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(leish)</div></div>,<div style='line-height:1.25;'><div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center;'>why?</div><div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div><div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>ليش هيك؟</div><div style='text-align:center; font-size:24px;'>leish heik</div><div style='text-align:center; font-size:24px;'>Why like that?</div></div>,reaction
<div style='text-align:center; line-height:1.05;'><div style='color:#7C3AED; font-size:40px; font-weight:800;'>تمام</div><div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(tamām)</div></div>,<div style='line-height:1.25;'><div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center;'>perfect / great</div><div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div><div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>تمام!</div><div style='text-align:center; font-size:24px;'>tamām</div><div style='text-align:center; font-size:24px;'>Perfect</div></div>,reaction
<div style='text-align:center; line-height:1.05;'><div style='color:#7C3AED; font-size:40px; font-weight:800;'>ممتاز</div><div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(mumtāz)</div></div>,<div style='line-height:1.25;'><div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center;'>excellent</div><div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div><div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>ممتاز</div><div style='text-align:center; font-size:24px;'>mumtāz</div><div style='text-align:center; font-size:24px;'>Excellent</div></div>,reaction
<div style='text-align:center; line-height:1.05;'><div style='color:#7C3AED; font-size:40px; font-weight:800;'>يمكن</div><div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(yimkin)</div></div>,<div style='line-height:1.25;'><div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center;'>maybe</div><div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div><div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>يمكن</div><div style='text-align:center; font-size:24px;'>yimkin</div><div style='text-align:center; font-size:24px;'>Maybe</div></div>,reaction
<div style='text-align:center; line-height:1.05;'><div style='color:#7C3AED; font-size:40px; font-weight:800;'>أكيد لا</div><div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(akeed la)</div></div>,<div style='line-height:1.25;'><div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center;'>of course not</div><div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div><div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>أكيد لا</div><div style='text-align:center; font-size:24px;'>akeed la</div><div style='text-align:center; font-size:24px;'>Of course not</div></div>,reaction
<div style='text-align:center; line-height:1.05;'><div style='color:#7C3AED; font-size:40px; font-weight:800;'>آه</div><div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(āh)</div></div>,<div style='line-height:1.25;'><div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center;'>yes</div><div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div><div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>آه</div><div style='text-align:center; font-size:24px;'>āh</div><div style='text-align:center; font-size:24px;'>Yes</div></div>,reaction
<div style='text-align:center; line-height:1.05;'><div style='color:#7C3AED; font-size:40px; font-weight:800;'>لا</div><div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(la)</div></div>,<div style='line-height:1.25;'><div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center;'>no</div><div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div><div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>لا</div><div style='text-align:center; font-size:24px;'>la</div><div style='text-align:center; font-size:24px;'>No</div></div>,reaction
<div style='text-align:center; line-height:1.05;'><div style='color:#7C3AED; font-size:40px; font-weight:800;'>بصراحة</div><div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(bi-ṣarāḥa)</div></div>,<div style='line-height:1.25;'><div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center;'>honestly</div><div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div><div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>بصراحة ما بعرف</div><div style='text-align:center; font-size:24px;'>bi-ṣarāḥa ma baʿrif</div><div style='text-align:center; font-size:24px;'>Honestly I don't know</div></div>,reaction
<div style='text-align:center; line-height:1.05;'><div style='color:#7C3AED; font-size:40px; font-weight:800;'>ما بعرف</div><div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(ma baʿrif)</div></div>,<div style='line-height:1.25;'><div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center;'>I don't know</div><div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div><div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>ما بعرف</div><div style='text-align:center; font-size:24px;'>ma baʿrif</div><div style='text-align:center; font-size:24px;'>I don't know</div></div>,reaction
<div style='text-align:center; line-height:1.05;'><div style='color:#7C3AED; font-size:40px; font-weight:800;'>ممكن</div><div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(mumkin)</div></div>,<div style='line-height:1.25;'><div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center;'>maybe / possible</div><div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div><div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>ممكن</div><div style='text-align:center; font-size:24px;'>mumkin</div><div style='text-align:center; font-size:24px;'>Maybe</div></div>,reaction
<div style='text-align:center; line-height:1.05;'><div style='color:#7C3AED; font-size:40px; font-weight:800;'>أكيد طبعا</div><div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(akeed ṭabʿan)</div></div>,<div style='line-height:1.25;'><div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center;'>yes of course</div><div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div><div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>أكيد طبعا</div><div style='text-align:center; font-size:24px;'>akeed ṭabʿan</div><div style='text-align:center; font-size:24px;'>Yes of course</div></div>,reaction
